Watershed,Waterbody,Latitude,Longitude,dDATE,nDO,nPH,nTEMP,nSPCOND,nTDS,nDEPTH
Chicopee,Unnamed Tributary,42.45211895,-72.16662911,2020-07-16,9.0,6.8,16.6,95.0,62.0,0.2
Chicopee,Unnamed Tributary,42.45211895,-72.16662911,2020-08-13,8.8,6.8,18.4,,,0.1
Chicopee,Moose Brook,42.41359781,-72.14305722,2020-07-16,3.2,5.9,21.2,80.0,52.0,0.1
Chicopee,Moose Brook,42.41359781,-72.14305722,2020-08-13,1.8,5.8,23.4,,,0.0
Chicopee,Pratt Brook,42.37739264,-72.10776295,2020-07-16,8.6,7.0,22.9,121.0,79.0,0.4
Chicopee,Pratt Brook,42.37739264,-72.10776295,2020-08-13,8.4,6.9,21.1,,,0.2
Chicopee,Burrow Brook,42.37487541,-72.08751928,2020-07-16,9.0,7.0,18.0,137.0,89.0,0.2
Chicopee,Burrow Brook,42.37487541,-72.08751928,2020-08-13,8.7,7.0,19.2,,,0.2
Chicopee,Natty Pond Brook,42.45158172,-72.0300279,2020-07-16,5.5,6.3,23.8,114.0,74.0,0.3
Chicopee,Natty Pond Brook,42.45158172,-72.0300279,2020-08-13,5.0,6.2,22.6,,,0.4
Chicopee,East Branch Ware River,42.41614547,-72.00792237,2020-07-16,8.8,7.2,26.1,163.0,106.0,0.5
Chicopee,East Branch Ware River,42.41614547,-72.00792237,2020-08-13,9.2,7.5,26.7,,,0.4
Chicopee,Unnamed Tributary,42.44674169,-71.93975559,2020-07-16,4.2,6.2,24.6,43.0,28.0,0.1
Chicopee,Unnamed Tributary,42.44674169,-71.93975559,2020-08-13,4.7,6.3,25.8,,,0.2
Blackstone,Axtell Brook,42.22369805,-71.68770771,2020-07-22,4.4,7.1,21.5,1309.0,850.0,0.4
Blackstone,Axtell Brook,42.22369805,-71.68770771,2020-08-19,2.5,6.6,17.2,1499.0,975.0,0.1
Blackstone,Tatnuck Brook,42.26151866,-71.84831069,2020-07-22,5.1,6.5,19.7,387.0,251.0,0.6
Blackstone,Tatnuck Brook,42.26151866,-71.84831069,2020-08-19,5.7,6.6,17.6,401.0,261.0,0.6
Chicopee,Turkey Hill Brook,42.27077749,-71.98279137,2020-07-22,8.4,7.3,21.6,210.0,137.0,0.2
Chicopee,Turkey Hill Brook,42.27077749,-71.98279137,2020-08-19,9.0,7.2,17.0,217.0,141.0,0.2
Chicopee,Sevenmile River,42.26477944,-72.00491606,2020-07-22,8.4,7.2,20.8,138.0,90.0,0.2
Chicopee,Sevenmile River,42.26477944,-72.00491606,2020-08-19,9.3,7.3,16.6,156.0,101.0,0.2
Nashua,Asnebumskit Brook,42.35232578,-71.89096029,2020-07-22,2.7,6.1,18.6,91.0,59.0,0.4
Nashua,Asnebumskit Brook,42.35232578,-71.89096029,2020-08-19,7.9,6.5,16.8,90.0,58.0,0.5
Blackstone,Silver Spring Brook,42.30545572,-71.87758341,2020-07-22,6.2,6.4,20.2,66.0,43.0,0.1
Blackstone,Silver Spring Brook,42.30545572,-71.87758341,2020-08-19,,,,,,
Blackstone,Sewall Brook,42.32499793,-71.74088627,2020-07-22,,,,,,
Blackstone,Sewall Brook,42.32499793,-71.74088627,2020-08-19,,,,,,
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-07-22,8.4,7.2,19.7,1121.0,729.0,0.8
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-08-19,9.5,7.3,16.5,1094.0,711.0,0.7
Blackstone,Coal Mine Brook,42.29051615,-71.7673158,2020-07-22,8.3,7.7,20.4,1083.0,704.0,0.3
Blackstone,Coal Mine Brook,42.29051615,-71.7673158,2020-08-19,9.0,7.6,18.7,821.0,534.0,0.2
Millers,Chickering Brook,42.55493712,-72.12734536,2020-07-23,4.4,6.2,21.6,243.0,158.0,0.2
Millers,Chickering Brook,42.55493712,-72.12734536,2020-08-20,6.7,6.3,14.3,269.0,175.0,0.1
Millers,Unnamed Tributary,42.55608497,-72.30064271,2020-07-23,7.7,6.7,22.0,144.0,94.0,0.4
Millers,Unnamed Tributary,42.55608497,-72.30064271,2020-08-20,,,,,,
Millers,Thousand Acre Brook,42.60698139,-72.16349796,2020-07-23,4.6,5.9,23.6,254.0,165.0,0.2
Millers,Thousand Acre Brook,42.60698139,-72.16349796,2020-08-20,5.6,6.1,17.8,228.0,148.0,0.1
Millers,Rich Brook,42.63003931,-72.16378855,2020-07-23,5.6,5.2,22.7,54.0,35.0,0.1
Millers,Rich Brook,42.63003931,-72.16378855,2020-08-20,6.5,6.0,15.7,36.0,23.0,0.1
Millers,Lawrence Brook,42.68339607,-72.17229563,2020-07-23,7.9,6.1,22.9,56.0,36.0,0.3
Millers,Lawrence Brook,42.68339607,-72.17229563,2020-08-20,9.6,6.6,16.8,70.0,46.0,0.2
Millers,Beaver Brook,42.6130637,-72.12973159,2020-07-23,8.2,6.4,21.7,176.0,114.0,0.4
Millers,Beaver Brook,42.6130637,-72.12973159,2020-08-20,8.5,6.7,16.8,171.0,111.0,0.6
Millers,Unnamed Tributary,42.58897184,-72.03710739,2020-07-23,7.9,5.9,21.7,159.0,103.0,0.4
Millers,Unnamed Tributary,42.58897184,-72.03710739,2020-08-20,8.6,6.8,17.8,186.0,121.0,0.3
Nashua,Baker Brook,42.56316154,-71.76154939,2020-07-23,7.6,6.9,23.7,212.0,140.0,0.2
Nashua,Baker Brook,42.56316154,-71.76154939,2020-08-20,8.6,7.4,20.1,434.0,282.0,0.2
Nashua,Pearl Hill Brook,42.58473938,-71.77277533,2020-07-29,7.9,7.4,20.7,476.0,310.0,0.0
Nashua,Pearl Hill Brook,42.58473938,-71.77277533,2020-08-26,8.2,7.1,17.1,665.0,432.0,0.1
Nashua,Catacoonamug Brook,42.56717587,-71.69666278,2020-07-29,6.0,6.4,18.3,238.0,155.0,0.2
Nashua,Catacoonamug Brook,42.56717587,-71.69666278,2020-08-26,8.0,6.5,14.9,230.0,150.0,0.2
Shawsheen,Content Brook,42.57863925,-71.21087544,2020-07-29,,,,,,
Shawsheen,Content Brook,42.57863925,-71.21087544,2020-08-26,,,,,,
Concord (SuAsCo),Dugan Brook,42.44794562,-71.3782804,2020-07-29,5.7,7.1,27.9,317.0,206.0,0.1
Concord (SuAsCo),Dugan Brook,42.44794562,-71.3782804,2020-08-26,7.1,7.3,20.9,322.0,210.0,0.1
Concord (SuAsCo),Run Brook,42.38602647,-71.43974631,2020-07-29,7.9,7.3,21.6,547.0,360.0,0.1
Concord (SuAsCo),Run Brook,42.38602647,-71.43974631,2020-08-26,8.6,7.3,17.3,514.0,334.0,0.1
Concord (SuAsCo),Unnamed Tributary,42.37600327,-71.47659538,2020-07-29,6.9,7.1,29.2,125.0,81.0,0.0
Concord (SuAsCo),Unnamed Tributary,42.37600327,-71.47659538,2020-08-26,8.2,7.2,24.8,142.0,92.0,0.1
Concord (SuAsCo),Hog Brook,42.39315061,-71.58188625,2020-07-29,7.0,7.1,22.6,707.0,460.0,0.1
Concord (SuAsCo),Hog Brook,42.39315061,-71.58188625,2020-08-26,8.1,7.3,18.3,,,0.2
Blackstone,Cook Allen Brook,42.1149129,-71.70458582,2020-07-30,0.4,6.4,17.7,665.0,432.0,0.5
Blackstone,Cook Allen Brook,42.1149129,-71.70458582,2020-08-27,1.3,6.7,17.5,373.0,242.0,0.5
Blackstone,Steamburg Brook,42.10854137,-71.69487674,2020-07-30,7.8,6.9,21.1,676.0,440.0,0.2
Blackstone,Steamburg Brook,42.10854137,-71.69487674,2020-08-27,8.3,6.8,16.7,739.0,480.0,0.2
Blackstone,Wellman Brook,42.07200745,-71.70324028,2020-07-30,7.7,6.6,21.4,333.0,216.0,0.1
Blackstone,Wellman Brook,42.07200745,-71.70324028,2020-08-27,8.5,6.6,16.0,362.0,235.0,0.1
Blackstone,Round Top Brook,42.00792,-71.70506,2020-07-30,7.5,6.8,23.1,159.0,103.0,0.2
Blackstone,Round Top Brook,42.00792,-71.70506,2020-08-27,6.8,6.4,15.8,177.0,115.0,0.2
Blackstone,Emerson Brook,42.04638466,-71.6301536,2020-07-30,7.9,6.9,24.0,123.0,80.0,0.1
Blackstone,Emerson Brook,42.04638466,-71.6301536,2020-08-27,9.0,7.0,17.6,120.0,78.0,0.2
Blackstone,Fox Brook,42.02818823,-71.53998784,2020-07-30,7.4,7.1,23.8,252.0,164.0,0.1
Blackstone,Fox Brook,42.02818823,-71.53998784,2020-08-27,8.3,7.0,16.6,485.0,316.0,0.3
Blackstone,Rock Meadow Brook,42.09240248,-71.59154659,2020-07-30,6.3,6.5,23.0,198.0,129.0,0.1
Blackstone,Rock Meadow Brook,42.09240248,-71.59154659,2020-08-27,5.2,6.8,16.4,205.0,133.0,0.0
Blackstone,Miscoe Brook,42.1231178,-71.59908641,2020-07-30,0.9,5.8,16.2,502.0,326.0,0.2
Blackstone,Miscoe Brook,42.1231178,-71.59908641,2020-08-27,,5.9,15.6,458.0,298.0,0.2
Blackstone,Miscoe Brook,42.22575344,-71.65289845,2020-07-30,2.7,6.3,19.4,1328.0,863.0,0.2
Blackstone,Miscoe Brook,42.22575344,-71.65289845,2020-08-27,7.0,6.5,16.5,317.0,206.0,0.2
Chicopee,Chaffee Brook,42.33665288,-72.36873833,2020-07-31,,,,,,
Chicopee,Chaffee Brook,42.33665288,-72.36873833,2020-08-28,,,,,,
Chicopee,Unnamed Tributary,42.44429909,-72.37166057,2020-07-31,8.6,7.2,20.0,48.0,31.0,0.4
Chicopee,Unnamed Tributary,42.44429909,-72.37166057,2020-08-28,9.4,7.0,15.9,52.0,34.0,0.5
Chicopee,Prescott Brook,42.36492922,-72.32529204,2020-07-31,8.5,7.1,21.1,43.0,28.0,0.1
Chicopee,Prescott Brook,42.36492922,-72.32529204,2020-08-28,9.3,7.0,17.0,43.0,28.0,0.1
Chicopee,Giles Brook,42.50329864,-72.31786462,2020-07-31,7.2,6.6,18.1,108.0,70.0,0.6
Chicopee,Giles Brook,42.50329864,-72.31786462,2020-08-28,8.1,6.8,15.5,87.0,56.0,0.4
Chicopee,Manning Brook,42.51854875,-72.31737256,2020-07-31,6.7,6.6,23.6,185.0,120.0,0.2
Chicopee,Manning Brook,42.51854875,-72.31737256,2020-08-28,8.1,6.1,18.2,209.0,136.0,0.2
Millers,Wickett Brook,42.55702496,-72.42497076,2020-07-31,,,,,,
Millers,Wickett Brook,42.55702496,-72.42497076,2020-08-28,,,,,,
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-08-12,5.2,6.7,20.6,650.0,422.0,0.1
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-09-16,9.5,7.2,15.1,409.0,266.0,0.1
Nashua,Stillwater River,42.44662969,-71.8181233,2019-07-09,8.9,6.6,18.5,97.0,62.0,0.5
Nashua,Mulpus Brook,42.61760369,-71.72624143,2019-07-09,7.8,6.5,17.5,214.0,137.0,0.4
Nashua,Pearl Hill Brook,42.664623,-71.753811,2019-07-09,8.4,6.2,18.2,116.0,74.0,0.6
Nashua,Mason Brook,42.70288914,-71.75177322,2019-07-09,8.6,6.2,18.2,80.0,51.0,0.5
Ipswich,Unnamed Tributary,42.62248944,-71.02018566,2019-07-09,6.4,6.3,19.4,65.0,42.0,0.3
Ipswich,Gravelly Brook,42.66074776,-70.90371136,2019-07-09,7.4,6.8,20.2,139.0,89.0,0.3
Farmington,Hubbard Brook,42.03883587,-72.94213827,2019-07-15,,,18.8,,,
Farmington,Pond Brook,42.03904812,-72.94202078000001,2019-07-15,,,17.7,,,
Bashbish,Bashbish Brook,42.10614,-73.48299,2019-07-15,,,17.3,,,
Bashbish,Ashley Hill Brook,42.08930109,-73.47506697,2019-07-15,,,17.6,,,
Millers,East Branch Tully River,42.69539254,-72.22718449,2019-07-16,7.1,6.2,18.6,35.0,23.0,0.2
Millers,Keyup Brook,42.62069634,-72.39305406,2019-07-16,9.2,6.6,16.1,26.0,17.0,0.2
Connecticut,Amethyst Brook,42.38033448,-72.46510155,2019-07-16,9.3,7.1,18.0,133.0,86.0,0.1
Connecticut,Doolittle Brook,42.44704256,-72.49190917,2019-07-16,7.9,7.2,22.9,134.0,87.0,0.0
Connecticut,Roaring Brook,42.45007437,-72.45260735,2019-07-16,9.4,7.0,16.3,86.0,56.0,0.2
Chicopee,Rutland Brook,42.46777728,-72.15673762,2019-07-16,8.1,7.0,22.1,52.0,34.0,0.2
Chicopee,Canesto Brook,42.43953233,-72.04115765,2019-07-16,8.1,6.8,21.0,81.0,53.0,0.3
Chicopee,Great Brook,42.20154773,-72.04487072,2019-07-23,4.0,6.1,19.7,103.0,67.0,0.3
Quinebaug,Breakneck Brook,42.05048837,-72.09627321,2019-07-23,8.2,6.2,19.6,25.0,16.0,0.5
Blackstone,Unnamed Tributary,42.07493076,-71.7950707,2019-07-23,7.2,5.3,18.2,18.0,12.0,0.3
Quinebaug,Rocky Brook,42.01542185,-71.79841192,2019-07-23,8.0,5.6,19.8,39.0,25.0,0.2
Blackstone,Round Top Brook,42.00792,-71.70506,2019-07-23,8.2,6.3,19.6,80.0,52.0,0.5
Blackstone,Scadden Brook,42.04529263,-71.65201157,2019-07-23,8.3,6.6,20.7,106.0,69.0,0.6
Blackstone,Warren Brook,42.18795491,-71.62720825,2019-07-23,8.3,6.2,18.6,118.0,76.0,0.6
Deerfield,Dunbar Brook,42.70347188,-72.95887989,2019-07-29,,,17.7,,,
Westfield,Westfield River,42.51804,-72.998461,2019-07-29,,,20.4,,,
Westfield,Trout Brook,42.44139459,-72.99462504,2019-07-29,,,18.8,,,
